image_id,rel_path,class_id,omega
n02037110_3653,Noisy Images/phase_noise_125/n02037110_3653.png,36,125.0
n04111531_4370,Noisy Images/phase_noise_125/n04111531_4370.png,126,125.0
n03041632_51225,Noisy Images/phase_noise_125/n03041632_51225.png,113,125.0
n02102973_7074,Noisy Images/phase_noise_125/n02102973_7074.png,69,125.0
n02504458_4207,Noisy Images/phase_noise_125/n02504458_4207.png,105,125.0
n03100240_6526,Noisy Images/phase_noise_125/n03100240_6526.png,115,125.0
n03100240_9761,Noisy Images/phase_noise_125/n03100240_9761.png,115,125.0
n04548280_6290,Noisy Images/phase_noise_125/n04548280_6290.png,132,125.0
n02123045_9349,Noisy Images/phase_noise_125/n02123045_9349.png,94,125.0
n02123597_334,Noisy Images/phase_noise_125/n02123597_334.png,97,125.0
n03196217_7918,Noisy Images/phase_noise_125/n03196217_7918.png,116,125.0
n03041632_17338,Noisy Images/phase_noise_125/n03041632_17338.png,113,125.0
n02133161_14841,Noisy Images/phase_noise_125/n02133161_14841.png,101,125.0
n04285008_5032,Noisy Images/phase_noise_125/n04285008_5032.png,128,125.0
n02690373_9659,Noisy Images/phase_noise_125/n02690373_9659.png,106,125.0
n02791124_4261,Noisy Images/phase_noise_125/n02791124_4261.png,108,125.0
n01798484_3874,Noisy Images/phase_noise_125/n01798484_3874.png,12,125.0
n02132136_31133,Noisy Images/phase_noise_125/n02132136_31133.png,100,125.0
n04467665_70988,Noisy Images/phase_noise_125/n04467665_70988.png,130,125.0
n03196217_10634,Noisy Images/phase_noise_125/n03196217_10634.png,116,125.0
n03085013_24045,Noisy Images/phase_noise_125/n03085013_24045.png,114,125.0
n02125311_60143,Noisy Images/phase_noise_125/n02125311_60143.png,99,125.0
n04560804_6469,Noisy Images/phase_noise_125/n04560804_6469.png,134,125.0
n03376595_4242,Noisy Images/phase_noise_125/n03376595_4242.png,118,125.0
n02835271_5113,Noisy Images/phase_noise_125/n02835271_5113.png,111,125.0
n02123597_7497,Noisy Images/phase_noise_125/n02123597_7497.png,97,125.0
n03085013_2640,Noisy Images/phase_noise_125/n03085013_2640.png,114,125.0
n02791124_6463,Noisy Images/phase_noise_125/n02791124_6463.png,108,125.0
