image_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
n01514859_3837,bird,bear,dog,oven,cat,elephant,truck,bottle,boat,bicycle,car,chair,clock,knife,keyboard,airplane
n01514859_8222,bird,dog,cat,bear,boat,elephant,chair,oven,bottle,truck,bicycle,knife,clock,car,keyboard,airplane
n01530575_3903,dog,bird,chair,bottle,bicycle,cat,boat,keyboard,elephant,knife,truck,bear,car,oven,clock,airplane
n01531178_2725,bird,knife,dog,elephant,bottle,cat,clock,boat,airplane,keyboard,chair,bear,truck,car,oven,bicycle
n01537544_8859,bird,dog,elephant,bear,bottle,clock,chair,airplane,cat,boat,bicycle,keyboard,knife,truck,oven,car
n01558993_12968,bird,clock,knife,bottle,dog,chair,boat,cat,keyboard,truck,airplane,bear,elephant,oven,bicycle,car
n01558993_14305,bird,dog,cat,bear,bottle,airplane,bicycle,clock,car,truck,knife,boat,keyboard,chair,oven,elephant
n01558993_4297,bird,bicycle,bottle,chair,dog,cat,bear,keyboard,knife,boat,oven,truck,clock,elephant,car,airplane
n01558993_6287,bird,dog,truck,cat,clock,boat,chair,car,bottle,airplane,knife,keyboard,elephant,bear,bicycle,oven
n01582220_9857,bird,dog,bottle,knife,boat,keyboard,elephant,cat,chair,bicycle,truck,bear,clock,car,airplane,oven
n01592084_2422,bird,dog,cat,keyboard,knife,airplane,bear,bottle,truck,boat,oven,chair,bicycle,car,clock,elephant
n01592084_3955,bird,bottle,dog,knife,keyboard,chair,cat,clock,bear,elephant,boat,airplane,oven,car,truck,bicycle
n01601694_10499,bird,dog,boat,elephant,bear,bottle,cat,keyboard,chair,knife,oven,clock,airplane,truck,car,bicycle
n01601694_9470,bird,dog,cat,boat,bicycle,oven,bottle,bear,elephant,chair,truck,keyboard,airplane,car,clock,knife
n01616318_3247,bird,bear,elephant,dog,cat,boat,bicycle,knife,truck,chair,car,bottle,keyboard,oven,clock,airplane
n01622779_1364,bird,dog,cat,bottle,truck,bear,boat,clock,knife,elephant,bicycle,keyboard,chair,car,airplane,oven
n01622779_1961,bird,dog,cat,bear,bottle,chair,oven,knife,truck,clock,bicycle,boat,keyboard,car,airplane,elephant
n01622779_9829,bird,cat,dog,clock,chair,truck,knife,bottle,bicycle,bear,boat,car,oven,elephant,keyboard,airplane
n01795545_1515,bird,dog,cat,bear,bottle,truck,chair,elephant,boat,bicycle,keyboard,car,airplane,knife,clock,oven
n01795545_9555,bird,dog,bottle,elephant,bear,cat,bicycle,clock,boat,knife,chair,truck,car,keyboard,airplane,oven
n01796340_11254,bird,dog,cat,bottle,boat,bear,bicycle,truck,keyboard,chair,knife,airplane,car,clock,elephant,oven
n01796340_5058,bird,cat,dog,bear,boat,elephant,bottle,truck,oven,bicycle,knife,car,clock,keyboard,chair,airplane
n01798484_2289,bird,dog,bear,cat,boat,chair,bicycle,bottle,truck,elephant,keyboard,clock,airplane,knife,oven,car
n01798484_3762,bird,dog,cat,bear,chair,bicycle,bottle,truck,keyboard,boat,elephant,clock,knife,airplane,oven,car
n01798484_3874,bird,dog,bear,cat,bottle,boat,oven,knife,elephant,truck,bicycle,chair,car,clock,keyboard,airplane
n01798484_5988,bird,cat,dog,bear,chair,clock,bottle,bicycle,boat,elephant,truck,keyboard,knife,oven,airplane,car
n01817953_1534,dog,bird,oven,bear,cat,elephant,truck,knife,bottle,chair,keyboard,clock,boat,car,bicycle,airplane
n01818515_2312,bird,elephant,dog,cat,bear,keyboard,boat,airplane,bottle,clock,chair,knife,truck,car,oven,bicycle
n01818515_7947,bird,dog,cat,bottle,knife,bear,bicycle,keyboard,oven,elephant,boat,truck,clock,chair,car,airplane
n01818515_8968,bird,bicycle,dog,cat,bottle,elephant,bear,oven,chair,truck,boat,knife,keyboard,clock,car,airplane
n01819313_3638,bird,bear,knife,dog,cat,bottle,chair,keyboard,boat,oven,elephant,clock,truck,airplane,car,bicycle
n01820546_1354,bird,bear,dog,cat,elephant,bottle,chair,airplane,truck,knife,keyboard,boat,clock,oven,bicycle,car
n01820546_4631,bird,dog,bottle,bear,cat,bicycle,clock,keyboard,chair,knife,boat,oven,truck,elephant,car,airplane
n01824575_2244,bird,dog,bear,cat,bottle,bicycle,clock,elephant,truck,knife,chair,keyboard,oven,boat,car,airplane
n01824575_2746,bird,dog,cat,bear,airplane,knife,bottle,oven,chair,boat,truck,car,keyboard,clock,bicycle,elephant
n01824575_3514,bird,cat,dog,bottle,chair,bear,clock,bicycle,boat,elephant,truck,knife,keyboard,car,airplane,oven
n01828970_2030,bird,dog,elephant,clock,bottle,cat,keyboard,boat,chair,knife,bicycle,bear,airplane,car,truck,oven
n01829413_4190,bird,dog,bottle,boat,elephant,keyboard,clock,cat,truck,car,chair,knife,bicycle,airplane,oven,bear
n01829413_5505,bird,bottle,dog,boat,bear,elephant,cat,knife,truck,airplane,car,oven,bicycle,chair,clock,keyboard
n01843065_7445,bird,dog,bear,cat,oven,knife,boat,truck,bottle,elephant,clock,keyboard,chair,airplane,car,bicycle
n01855032_5743,bird,dog,boat,bear,truck,cat,bottle,knife,car,keyboard,elephant,clock,airplane,chair,oven,bicycle
n01855672_7426,bird,dog,elephant,knife,bottle,boat,car,cat,keyboard,bear,airplane,bicycle,truck,clock,chair,oven
n01860187_210,bird,elephant,bear,dog,boat,cat,bottle,truck,oven,knife,chair,clock,keyboard,car,bicycle,airplane
n01860187_38598,bird,dog,cat,bear,elephant,bottle,boat,knife,bicycle,clock,chair,oven,truck,keyboard,car,airplane
n01860187_7878,bird,cat,bottle,oven,dog,bicycle,chair,knife,truck,boat,car,elephant,keyboard,bear,clock,airplane
n02002556_139,bird,dog,boat,clock,elephant,airplane,truck,bicycle,bottle,cat,chair,keyboard,car,knife,bear,oven
n02002556_17975,bird,bicycle,truck,boat,elephant,dog,chair,cat,bottle,clock,bear,knife,oven,car,keyboard,airplane
n02002556_1936,bird,dog,cat,truck,chair,keyboard,bottle,bear,knife,clock,airplane,car,bicycle,elephant,boat,oven
n02002724_1654,bird,dog,cat,bear,bicycle,knife,bottle,clock,boat,keyboard,oven,truck,elephant,car,chair,airplane
n02006656_11301,bird,dog,bear,cat,boat,bottle,elephant,chair,keyboard,clock,oven,truck,knife,bicycle,airplane,car
n02006656_30849,bird,dog,cat,elephant,bottle,bear,knife,chair,boat,clock,keyboard,truck,airplane,car,bicycle,oven
n02007558_7614,bird,dog,elephant,bottle,chair,bear,truck,knife,boat,car,keyboard,cat,oven,airplane,clock,bicycle
n02009229_2294,bird,dog,elephant,keyboard,cat,bottle,chair,clock,bear,knife,boat,truck,car,airplane,bicycle,oven
n02011460_5735,keyboard,chair,clock,bottle,dog,truck,bird,oven,knife,boat,cat,car,elephant,bicycle,bear,airplane
n02011460_7877,bird,dog,cat,keyboard,boat,oven,truck,bear,car,elephant,knife,bottle,bicycle,chair,clock,airplane
n02013706_1024,bird,dog,bottle,cat,bear,bicycle,boat,truck,airplane,chair,car,clock,keyboard,knife,oven,elephant
n02013706_6035,bird,dog,elephant,cat,airplane,truck,boat,keyboard,bear,bottle,bicycle,clock,car,chair,knife,oven
n02017213_15262,bird,boat,chair,keyboard,dog,bottle,airplane,clock,bear,knife,oven,truck,bicycle,cat,elephant,car
n02017213_17013,bird,dog,oven,boat,elephant,bicycle,cat,bear,bottle,airplane,knife,truck,car,chair,keyboard,clock
n02017213_4855,bird,dog,oven,bear,elephant,boat,truck,bottle,cat,chair,clock,car,keyboard,knife,airplane,bicycle
n02025239_2481,bird,dog,boat,cat,bottle,bear,truck,clock,oven,bicycle,chair,knife,keyboard,airplane,car,elephant
n02025239_3073,bird,boat,dog,bottle,chair,cat,truck,clock,bear,bicycle,oven,car,keyboard,knife,airplane,elephant
n02025239_7274,bird,dog,boat,bear,cat,bottle,elephant,keyboard,chair,bicycle,truck,oven,knife,clock,car,airplane
n02027492_1678,bird,dog,boat,bottle,truck,oven,clock,knife,cat,chair,bear,keyboard,car,airplane,bicycle,elephant
n02027492_20576,bird,dog,bottle,chair,clock,boat,cat,truck,bear,bicycle,keyboard,knife,car,oven,airplane,elephant
n02027492_2457,bird,oven,dog,boat,bottle,chair,clock,cat,truck,knife,keyboard,car,bear,bicycle,airplane,elephant
n02027492_9899,bird,dog,bottle,cat,chair,clock,boat,knife,truck,oven,elephant,bear,keyboard,car,airplane,bicycle
n02028035_23375,bird,boat,dog,bear,truck,cat,elephant,oven,bottle,airplane,knife,car,bicycle,clock,keyboard,chair
n02028035_26229,bird,dog,boat,chair,elephant,cat,airplane,bear,bottle,truck,keyboard,bicycle,knife,oven,clock,car
n02028035_4569,bird,dog,bottle,cat,chair,elephant,boat,truck,bear,knife,keyboard,bicycle,clock,oven,car,airplane
n02033041_17119,bird,elephant,bear,boat,truck,dog,chair,bicycle,oven,bottle,clock,cat,knife,keyboard,car,airplane
n02037110_3267,bird,dog,boat,bicycle,elephant,cat,bear,chair,bottle,car,truck,airplane,knife,oven,keyboard,clock
n02037110_3653,bird,dog,boat,bear,bicycle,elephant,chair,bottle,cat,keyboard,truck,oven,knife,car,clock,airplane
n02056570_1691,dog,keyboard,bird,chair,bottle,knife,truck,bear,cat,boat,oven,elephant,clock,car,bicycle,airplane
n02056570_727,bird,dog,clock,elephant,boat,chair,keyboard,bottle,truck,knife,airplane,bicycle,bear,cat,car,oven
n02085936_5775,dog,cat,bird,clock,bear,bottle,truck,airplane,car,keyboard,chair,boat,knife,oven,elephant,bicycle
n02089078_8273,elephant,bird,dog,bottle,truck,chair,cat,bear,knife,oven,bicycle,car,boat,clock,airplane,keyboard
n02089867_5477,dog,bird,cat,chair,boat,keyboard,bottle,knife,bicycle,truck,oven,clock,car,bear,airplane,elephant
n02090379_1687,keyboard,dog,chair,bird,bottle,cat,truck,car,clock,knife,elephant,oven,boat,airplane,bicycle,bear
n02090379_1932,dog,cat,bird,bear,oven,knife,bottle,boat,elephant,keyboard,truck,clock,car,airplane,chair,bicycle
n02090379_3045,dog,bear,cat,bird,bottle,boat,chair,clock,knife,truck,bicycle,elephant,oven,car,keyboard,airplane
n02090721_5305,dog,bear,cat,bird,elephant,bottle,clock,knife,keyboard,chair,truck,boat,oven,bicycle,car,airplane
n02091032_6740,bird,dog,boat,bottle,truck,knife,elephant,cat,chair,bicycle,oven,bear,airplane,keyboard,car,clock
n02091032_7280,cat,dog,bird,bottle,bear,clock,boat,knife,keyboard,chair,airplane,elephant,truck,bicycle,oven,car
n02091134_12017,dog,bird,bear,cat,boat,bottle,elephant,bicycle,truck,chair,clock,car,keyboard,knife,oven,airplane
n02091134_7486,dog,cat,bird,bear,boat,bottle,chair,keyboard,truck,elephant,bicycle,car,clock,knife,oven,airplane
n02091831_6436,dog,bird,elephant,bear,cat,truck,chair,boat,bottle,knife,bicycle,oven,clock,car,keyboard,airplane
n02092339_3174,dog,elephant,bird,bear,knife,cat,chair,bottle,boat,truck,keyboard,oven,clock,car,bicycle,airplane
n02092339_7356,bird,dog,bear,elephant,chair,oven,boat,keyboard,knife,bottle,truck,cat,car,airplane,bicycle,clock
n02093256_12628,dog,bird,elephant,bottle,cat,bear,chair,knife,clock,truck,oven,bicycle,keyboard,boat,car,airplane
n02093647_1494,dog,bear,cat,bird,elephant,chair,bottle,clock,oven,truck,knife,keyboard,boat,airplane,car,bicycle
n02093754_5012,dog,cat,bear,bird,truck,bottle,boat,knife,airplane,keyboard,chair,elephant,clock,oven,car,bicycle
n02093859_2564,dog,bear,bird,cat,elephant,clock,bottle,bicycle,oven,chair,truck,knife,boat,car,keyboard,airplane
n02094114_7024,bottle,bird,bear,keyboard,dog,oven,clock,knife,chair,boat,cat,car,truck,airplane,elephant,bicycle
n02094258_1036,dog,bottle,bear,bird,knife,clock,cat,boat,bicycle,elephant,keyboard,truck,chair,airplane,oven,car
n02094433_5663,cat,dog,bear,bird,clock,truck,boat,keyboard,oven,knife,bottle,chair,bicycle,elephant,airplane,car
n02095570_2773,dog,boat,bird,cat,bear,knife,truck,elephant,bottle,car,bicycle,chair,oven,airplane,keyboard,clock
n02095570_4436,dog,cat,bird,bottle,knife,keyboard,chair,clock,truck,bear,boat,oven,car,airplane,elephant,bicycle
n02096294_12418,dog,cat,bird,bear,bottle,elephant,bicycle,oven,truck,boat,chair,keyboard,car,knife,clock,airplane
n02096437_1559,dog,cat,bird,oven,bear,bottle,truck,chair,boat,clock,elephant,knife,keyboard,car,bicycle,airplane
n02097130_2321,dog,bear,cat,bird,bottle,chair,truck,boat,elephant,knife,clock,keyboard,oven,bicycle,car,airplane
n02097298_8119,dog,bird,cat,bear,bottle,elephant,boat,truck,clock,keyboard,chair,bicycle,car,knife,oven,airplane
n02097658_1316,dog,cat,bird,bottle,oven,bear,truck,keyboard,knife,chair,clock,boat,bicycle,elephant,car,airplane
n02098105_2343,dog,bear,cat,bird,elephant,bottle,chair,knife,oven,keyboard,truck,boat,clock,bicycle,car,airplane
n02098286_2798,dog,cat,bear,bird,bottle,chair,clock,boat,truck,oven,knife,keyboard,airplane,elephant,car,bicycle
n02098286_4425,dog,elephant,bird,bear,cat,bicycle,boat,truck,chair,bottle,car,clock,knife,oven,keyboard,airplane
n02099601_5760,dog,bear,bird,oven,bottle,chair,cat,truck,knife,clock,elephant,keyboard,boat,car,airplane,bicycle
n02099712_4066,dog,bird,bear,bottle,knife,chair,clock,cat,elephant,truck,keyboard,car,boat,oven,bicycle,airplane
n02099849_1285,dog,bird,elephant,cat,bottle,keyboard,chair,oven,clock,boat,bear,knife,truck,bicycle,car,airplane
n02100583_3987,dog,cat,bird,chair,bear,elephant,bottle,keyboard,clock,oven,bicycle,truck,boat,car,knife,airplane
n02100735_10276,cat,dog,bear,bird,bicycle,bottle,boat,chair,truck,elephant,knife,clock,oven,airplane,car,keyboard
n02102040_4392,dog,bird,cat,bottle,bear,oven,keyboard,chair,elephant,knife,truck,car,boat,clock,bicycle,airplane
n02102480_10156,boat,bird,bicycle,dog,elephant,truck,chair,cat,bear,car,bottle,airplane,oven,knife,clock,keyboard
n02102480_12073,dog,cat,bear,keyboard,bottle,bird,knife,clock,elephant,oven,truck,boat,bicycle,car,airplane,chair
n02102973_7074,bird,dog,truck,elephant,cat,bear,boat,car,chair,bicycle,bottle,knife,keyboard,airplane,oven,clock
n02104029_3121,bird,dog,bear,bottle,elephant,cat,oven,knife,truck,keyboard,chair,boat,car,airplane,clock,bicycle
n02104029_7335,dog,bear,bird,cat,boat,bottle,elephant,truck,knife,chair,keyboard,airplane,bicycle,car,clock,oven
n02104365_2334,dog,cat,bear,bird,bottle,keyboard,elephant,truck,chair,bicycle,oven,clock,boat,car,knife,airplane
n02105251_5812,dog,bird,cat,elephant,bottle,bear,chair,clock,boat,keyboard,truck,bicycle,knife,car,oven,airplane
n02105505_1156,dog,bird,boat,bear,truck,cat,chair,keyboard,bottle,knife,elephant,clock,car,oven,airplane,bicycle
n02105641_14112,dog,bear,boat,bird,cat,elephant,oven,bottle,truck,bicycle,chair,car,keyboard,knife,clock,airplane
n02105641_8995,dog,cat,bird,bear,clock,bottle,truck,keyboard,boat,knife,oven,chair,airplane,car,elephant,bicycle
n02106030_17418,dog,bear,cat,bird,keyboard,bottle,boat,truck,clock,knife,chair,car,bicycle,elephant,oven,airplane
n02106030_889,dog,bear,cat,bottle,truck,clock,bird,elephant,boat,keyboard,chair,knife,car,oven,bicycle,airplane
n02106550_6482,dog,elephant,oven,bird,bear,cat,truck,boat,bottle,keyboard,chair,knife,car,bicycle,airplane,clock
n02106662_18900,bird,bicycle,dog,cat,boat,elephant,bear,truck,clock,chair,bottle,car,knife,keyboard,oven,airplane
n02106662_50313,dog,cat,bear,oven,bird,keyboard,elephant,bottle,knife,chair,truck,clock,boat,car,airplane,bicycle
n02106662_5916,dog,cat,bear,bird,keyboard,bottle,elephant,chair,knife,boat,clock,truck,oven,car,bicycle,airplane
n02107312_1546,dog,cat,bird,bear,bottle,boat,knife,bicycle,truck,elephant,chair,clock,keyboard,oven,car,airplane
n02107574_3775,dog,bird,boat,bicycle,chair,cat,elephant,truck,bottle,bear,car,knife,oven,keyboard,clock,airplane
n02107574_4993,dog,bird,cat,bear,bottle,keyboard,truck,chair,elephant,knife,car,boat,bicycle,oven,airplane,clock
n02107908_3447,bird,bear,dog,cat,boat,bicycle,elephant,clock,bottle,truck,chair,car,knife,keyboard,oven,airplane
n02108000_6970,dog,cat,chair,bottle,bird,knife,clock,keyboard,bear,truck,boat,car,bicycle,oven,elephant,airplane
n02108422_12370,dog,bear,elephant,truck,chair,cat,bird,boat,car,oven,bottle,bicycle,keyboard,knife,clock,airplane
n02108551_20183,dog,cat,bear,bird,elephant,bottle,chair,oven,keyboard,truck,knife,clock,boat,car,bicycle,airplane
n02108551_26509,dog,bear,cat,bird,bottle,keyboard,truck,oven,boat,chair,elephant,clock,bicycle,knife,airplane,car
n02108915_7266,dog,bird,cat,knife,bottle,chair,boat,bear,truck,oven,clock,keyboard,bicycle,airplane,elephant,car
n02109047_26931,dog,bird,chair,cat,keyboard,bear,boat,oven,knife,truck,bottle,elephant,car,clock,bicycle,airplane
