image_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
n01514859_3837,bird,dog,elephant,cat,bear,oven,keyboard,chair,bicycle,car,truck,clock,bottle,boat,knife,airplane
n01514859_8222,bird,dog,cat,bear,oven,elephant,chair,keyboard,truck,bottle,car,clock,bicycle,airplane,knife,boat
n01530575_3903,bird,chair,bottle,dog,keyboard,clock,cat,bicycle,oven,elephant,truck,knife,car,bear,boat,airplane
n01531178_2725,bird,dog,cat,knife,bear,bottle,keyboard,clock,oven,truck,chair,airplane,boat,elephant,car,bicycle
n01537544_8859,bird,dog,cat,elephant,clock,bottle,chair,keyboard,knife,oven,truck,car,bicycle,airplane,boat,bear
n01558993_12968,bird,clock,chair,dog,knife,cat,bicycle,truck,elephant,car,oven,bottle,airplane,keyboard,boat,bear
n01558993_14305,bird,bicycle,dog,bottle,cat,keyboard,clock,airplane,truck,oven,chair,car,knife,boat,bear,elephant
n01558993_4297,bird,dog,bear,cat,bottle,clock,oven,keyboard,chair,boat,truck,knife,bicycle,car,elephant,airplane
n01558993_6287,bird,dog,cat,bicycle,bottle,keyboard,clock,truck,car,boat,chair,knife,airplane,oven,bear,elephant
n01582220_9857,bird,dog,bottle,knife,keyboard,car,chair,bear,truck,clock,cat,oven,bicycle,boat,elephant,airplane
n01592084_2422,bird,dog,airplane,clock,bear,chair,keyboard,knife,cat,oven,boat,truck,bottle,car,bicycle,elephant
n01592084_3955,bird,dog,cat,knife,clock,airplane,keyboard,bear,bottle,oven,chair,boat,truck,car,elephant,bicycle
n01601694_10499,bird,dog,oven,bottle,bear,keyboard,elephant,cat,boat,chair,truck,airplane,clock,car,knife,bicycle
n01601694_9470,bird,oven,dog,keyboard,airplane,cat,chair,bottle,clock,boat,knife,bicycle,car,elephant,bear,truck
n01616318_3247,bird,cat,dog,truck,bicycle,clock,bear,bottle,chair,keyboard,boat,car,elephant,airplane,knife,oven
n01622779_1364,bird,dog,cat,elephant,bear,bottle,truck,clock,keyboard,bicycle,boat,chair,car,knife,oven,airplane
n01622779_1961,bird,dog,cat,bear,clock,truck,knife,bottle,chair,keyboard,car,oven,bicycle,boat,elephant,airplane
n01622779_9829,bird,dog,cat,truck,bottle,keyboard,bear,oven,clock,chair,car,knife,bicycle,elephant,airplane,boat
n01795545_1515,bird,dog,truck,elephant,car,bottle,cat,keyboard,chair,clock,knife,bear,boat,bicycle,airplane,oven
n01795545_9555,bird,dog,elephant,cat,bear,bicycle,bottle,knife,keyboard,truck,clock,chair,car,boat,airplane,oven
n01796340_11254,bird,dog,keyboard,cat,bottle,boat,bicycle,knife,clock,truck,bear,chair,car,airplane,oven,elephant
n01796340_5058,bird,dog,bicycle,oven,bear,cat,boat,truck,elephant,bottle,knife,car,airplane,keyboard,clock,chair
n01798484_2289,bird,dog,cat,chair,truck,keyboard,car,clock,bear,bottle,boat,bicycle,knife,elephant,airplane,oven
n01798484_3762,bird,dog,cat,chair,keyboard,truck,bicycle,bottle,car,clock,airplane,knife,boat,elephant,bear,oven
n01798484_3874,bird,dog,bicycle,cat,keyboard,bottle,elephant,truck,chair,bear,car,clock,knife,oven,boat,airplane
n01798484_5988,bird,cat,dog,chair,keyboard,car,bear,truck,bottle,oven,elephant,clock,bicycle,knife,boat,airplane
n01817953_1534,bird,dog,clock,cat,bear,bottle,elephant,bicycle,oven,truck,knife,keyboard,chair,boat,car,airplane
n01818515_2312,bird,dog,elephant,cat,bear,clock,airplane,oven,keyboard,bicycle,chair,car,truck,knife,bottle,boat
n01818515_7947,bird,dog,oven,bear,elephant,car,knife,bottle,cat,truck,bicycle,boat,clock,keyboard,chair,airplane
n01818515_8968,bird,cat,elephant,bicycle,dog,oven,clock,bottle,bear,boat,chair,truck,knife,car,keyboard,airplane
n01819313_3638,bird,cat,dog,bear,bottle,knife,keyboard,clock,chair,oven,elephant,truck,boat,bicycle,airplane,car
n01820546_1354,bird,dog,bear,elephant,cat,truck,oven,clock,bottle,car,boat,airplane,keyboard,bicycle,knife,chair
n01820546_4631,bird,cat,bicycle,dog,bottle,bear,clock,truck,knife,elephant,oven,car,chair,boat,keyboard,airplane
n01824575_2244,bird,bear,cat,clock,dog,elephant,bicycle,bottle,chair,truck,keyboard,boat,oven,knife,car,airplane
n01824575_2746,bird,bicycle,chair,cat,oven,dog,bottle,clock,airplane,keyboard,truck,knife,car,bear,elephant,boat
n01824575_3514,bird,dog,bicycle,cat,bottle,truck,bear,elephant,car,clock,knife,airplane,keyboard,oven,chair,boat
n01828970_2030,bird,clock,dog,chair,bicycle,bottle,elephant,truck,airplane,car,cat,boat,keyboard,oven,knife,bear
n01829413_4190,bird,dog,elephant,oven,truck,car,cat,keyboard,bottle,bicycle,bear,clock,boat,knife,chair,airplane
n01829413_5505,bird,dog,bottle,elephant,cat,bear,truck,keyboard,car,clock,bicycle,oven,chair,boat,knife,airplane
n01843065_7445,bird,knife,dog,oven,keyboard,bottle,bear,clock,airplane,cat,chair,boat,truck,elephant,car,bicycle
n01855032_5743,bird,dog,elephant,bear,oven,bottle,boat,knife,cat,truck,keyboard,car,clock,bicycle,chair,airplane
n01855672_7426,bird,dog,keyboard,bottle,cat,knife,car,truck,bicycle,clock,oven,airplane,elephant,boat,bear,chair
n01860187_210,bird,elephant,bottle,bear,dog,cat,boat,keyboard,car,knife,truck,oven,chair,clock,airplane,bicycle
n01860187_38598,bird,elephant,bear,dog,cat,oven,bottle,bicycle,boat,car,knife,truck,chair,clock,keyboard,airplane
n01860187_7878,bird,bottle,elephant,dog,bicycle,cat,oven,bear,knife,keyboard,truck,car,boat,clock,chair,airplane
n02002556_139,bird,dog,airplane,boat,chair,clock,cat,keyboard,truck,oven,bottle,elephant,car,bicycle,knife,bear
n02002556_17975,bird,elephant,bicycle,dog,bear,cat,chair,clock,truck,car,boat,keyboard,oven,bottle,airplane,knife
n02002556_1936,bird,dog,elephant,chair,cat,bicycle,truck,bottle,keyboard,bear,car,clock,boat,knife,oven,airplane
n02002724_1654,bird,dog,clock,bear,bottle,truck,oven,cat,boat,airplane,keyboard,elephant,car,chair,bicycle,knife
n02006656_11301,bird,dog,elephant,cat,keyboard,oven,bottle,boat,truck,bear,chair,clock,knife,airplane,car,bicycle
n02006656_30849,bird,elephant,dog,knife,cat,chair,airplane,bottle,clock,keyboard,boat,bear,truck,car,bicycle,oven
n02007558_7614,bird,dog,bottle,elephant,bear,truck,car,cat,clock,chair,knife,boat,keyboard,oven,airplane,bicycle
n02009229_2294,bird,elephant,dog,keyboard,oven,clock,bottle,cat,truck,chair,boat,car,airplane,bear,bicycle,knife
n02011460_5735,bird,chair,dog,clock,truck,elephant,keyboard,oven,cat,bottle,knife,car,bear,boat,bicycle,airplane
n02011460_7877,bird,oven,dog,keyboard,chair,truck,elephant,car,clock,bottle,boat,bear,knife,cat,bicycle,airplane
n02013706_1024,bird,bottle,dog,keyboard,clock,truck,bear,car,cat,bicycle,oven,boat,knife,chair,elephant,airplane
n02013706_6035,bird,dog,bicycle,airplane,cat,truck,elephant,chair,bottle,clock,keyboard,bear,boat,car,knife,oven
n02017213_15262,bird,keyboard,dog,oven,bottle,chair,clock,cat,boat,airplane,elephant,knife,truck,bicycle,car,bear
n02017213_17013,bird,dog,oven,bottle,keyboard,knife,clock,cat,elephant,chair,bicycle,bear,airplane,boat,truck,car
n02017213_4855,bird,cat,elephant,dog,bear,oven,truck,car,clock,chair,keyboard,bicycle,bottle,boat,knife,airplane
n02025239_2481,bird,dog,keyboard,cat,truck,oven,clock,boat,bicycle,car,bear,chair,bottle,elephant,knife,airplane
