image_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
n01514859_3837,bird,dog,cat,oven,bear,bottle,elephant,truck,clock,chair,bicycle,boat,keyboard,airplane,knife,car
n01514859_8222,bird,cat,dog,bear,bottle,airplane,oven,chair,elephant,keyboard,clock,boat,truck,knife,bicycle,car
n01530575_3903,bird,cat,bottle,dog,chair,bicycle,clock,oven,bear,airplane,knife,boat,keyboard,elephant,truck,car
n01531178_2725,bird,dog,cat,bear,boat,airplane,knife,bottle,bicycle,truck,clock,chair,keyboard,oven,elephant,car
n01537544_8859,bird,dog,airplane,clock,bottle,elephant,bear,chair,knife,cat,oven,truck,keyboard,boat,bicycle,car
n01558993_12968,bird,clock,dog,bottle,cat,elephant,knife,airplane,bicycle,chair,bear,boat,oven,keyboard,truck,car
n01558993_14305,bird,dog,airplane,bottle,cat,bicycle,clock,chair,truck,bear,keyboard,oven,boat,car,knife,elephant
n01558993_4297,bird,dog,bear,cat,bottle,boat,clock,keyboard,knife,airplane,chair,oven,truck,elephant,bicycle,car
n01558993_6287,bird,airplane,dog,bottle,cat,boat,truck,bicycle,bear,clock,chair,car,elephant,keyboard,knife,oven
n01582220_9857,bird,knife,dog,bottle,bear,keyboard,cat,chair,bicycle,clock,boat,elephant,truck,airplane,car,oven
n01592084_2422,bird,dog,cat,bottle,bear,airplane,oven,boat,bicycle,clock,truck,chair,knife,keyboard,car,elephant
n01592084_3955,bird,bottle,airplane,dog,cat,knife,keyboard,clock,chair,bear,elephant,oven,truck,bicycle,boat,car
n01601694_10499,bird,dog,bear,bottle,elephant,boat,chair,cat,knife,clock,keyboard,airplane,bicycle,oven,truck,car
n01601694_9470,bird,bottle,cat,dog,chair,keyboard,bicycle,boat,bear,clock,oven,airplane,truck,knife,car,elephant
n01616318_3247,bird,dog,cat,truck,elephant,clock,bear,chair,airplane,bottle,car,keyboard,bicycle,boat,knife,oven
n01622779_1364,bird,dog,clock,cat,bicycle,elephant,oven,truck,bear,bottle,keyboard,chair,boat,knife,car,airplane
