image_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
n01514859_3837,bird,dog,cat,truck,bottle,bear,bicycle,elephant,chair,keyboard,car,boat,knife,oven,clock,airplane
n01514859_8222,bird,dog,cat,bear,oven,chair,bicycle,bottle,elephant,truck,knife,boat,clock,keyboard,car,airplane
n01530575_3903,bird,dog,chair,cat,bicycle,knife,bottle,oven,boat,bear,airplane,keyboard,truck,clock,car,elephant
n01531178_2725,bird,knife,dog,cat,bottle,boat,bear,airplane,keyboard,chair,oven,elephant,truck,clock,car,bicycle
n01537544_8859,bird,chair,cat,bear,dog,bottle,knife,clock,oven,bicycle,elephant,keyboard,car,boat,truck,airplane
n01558993_12968,bird,knife,dog,bottle,bicycle,clock,elephant,bear,cat,oven,boat,truck,keyboard,airplane,car,chair
n01558993_14305,bird,dog,bottle,bicycle,cat,knife,oven,clock,bear,car,truck,keyboard,boat,airplane,chair,elephant
n01558993_4297,bird,dog,bear,bottle,cat,knife,oven,boat,elephant,chair,bicycle,truck,keyboard,clock,car,airplane
n01558993_6287,bird,bottle,dog,bicycle,boat,car,cat,clock,truck,bear,knife,oven,airplane,chair,keyboard,elephant
n01582220_9857,bird,dog,bear,boat,chair,airplane,cat,bottle,knife,bicycle,car,truck,elephant,clock,keyboard,oven
n01592084_2422,bird,cat,dog,bottle,bear,knife,keyboard,airplane,chair,boat,oven,elephant,car,bicycle,truck,clock
n01592084_3955,bird,cat,dog,bear,knife,bottle,chair,keyboard,airplane,elephant,clock,boat,bicycle,truck,car,oven
n01601694_10499,bird,boat,dog,bottle,bear,knife,cat,bicycle,keyboard,elephant,oven,airplane,car,chair,truck,clock
n01601694_9470,bird,dog,bottle,bicycle,boat,cat,bear,keyboard,airplane,car,oven,chair,knife,truck,clock,elephant
n01616318_3247,bird,bear,dog,cat,bottle,truck,elephant,keyboard,knife,car,boat,bicycle,airplane,clock,chair,oven
n01622779_1364,bird,cat,dog,bear,bottle,elephant,keyboard,bicycle,clock,boat,truck,knife,car,chair,oven,airplane
n01622779_1961,bird,cat,dog,bear,bicycle,clock,elephant,knife,truck,chair,bottle,keyboard,boat,car,oven,airplane
n01622779_9829,bird,dog,cat,bear,bottle,clock,bicycle,keyboard,boat,chair,knife,elephant,truck,oven,car,airplane
n01795545_1515,bird,dog,bear,bottle,cat,elephant,chair,truck,boat,bicycle,car,keyboard,clock,knife,airplane,oven
n01795545_9555,bird,dog,bear,cat,bottle,elephant,boat,bicycle,truck,chair,knife,clock,car,airplane,keyboard,oven
n01796340_11254,bird,dog,cat,bottle,knife,bear,bicycle,truck,clock,keyboard,boat,chair,oven,airplane,car,elephant
n01796340_5058,bird,dog,bear,cat,bicycle,bottle,boat,car,knife,airplane,truck,elephant,oven,keyboard,chair,clock
n01798484_2289,bird,dog,cat,chair,elephant,bear,bottle,truck,keyboard,bicycle,car,boat,oven,knife,clock,airplane
n01798484_3762,bird,cat,dog,chair,keyboard,bottle,car,truck,elephant,bicycle,airplane,boat,bear,knife,clock,oven
n01798484_3874,bird,dog,bear,cat,elephant,bicycle,bottle,truck,car,chair,boat,keyboard,knife,airplane,oven,clock
n01798484_5988,bird,dog,cat,chair,bottle,elephant,keyboard,oven,boat,bear,bicycle,truck,car,airplane,knife,clock
n01817953_1534,bird,dog,bear,elephant,oven,knife,bottle,bicycle,keyboard,cat,chair,boat,truck,clock,car,airplane
n01818515_2312,bird,elephant,dog,cat,bear,clock,bicycle,boat,airplane,truck,bottle,chair,car,knife,keyboard,oven
n01818515_7947,bird,dog,bicycle,knife,bottle,elephant,clock,keyboard,truck,oven,cat,chair,bear,boat,car,airplane
n01818515_8968,bird,elephant,bicycle,dog,cat,chair,bear,oven,knife,bottle,truck,clock,boat,car,airplane,keyboard
n01819313_3638,bird,bear,dog,cat,knife,chair,bottle,elephant,boat,keyboard,airplane,bicycle,oven,clock,truck,car
n01820546_1354,bird,dog,bottle,bear,knife,elephant,cat,bicycle,clock,boat,oven,keyboard,chair,truck,car,airplane
n01820546_4631,bird,bear,cat,dog,bottle,knife,bicycle,elephant,clock,keyboard,oven,chair,boat,airplane,truck,car
n01824575_2244,bird,bear,cat,elephant,dog,knife,bicycle,oven,bottle,truck,clock,chair,keyboard,boat,car,airplane
n01824575_2746,bird,dog,bear,cat,bottle,knife,elephant,chair,oven,boat,clock,keyboard,bicycle,airplane,truck,car
n01824575_3514,bird,dog,bear,bottle,knife,cat,elephant,chair,oven,bicycle,keyboard,boat,truck,clock,airplane,car
n01828970_2030,bird,dog,bottle,cat,chair,boat,elephant,knife,car,bear,airplane,bicycle,keyboard,truck,clock,oven
n01829413_4190,bird,elephant,bottle,dog,bicycle,bear,knife,boat,oven,cat,keyboard,truck,car,chair,clock,airplane
n01829413_5505,bird,dog,bottle,elephant,cat,bear,bicycle,clock,boat,knife,truck,chair,keyboard,car,airplane,oven
n01843065_7445,bird,dog,oven,bottle,cat,knife,bear,airplane,keyboard,chair,truck,car,boat,clock,elephant,bicycle
n01855032_5743,bird,dog,bear,boat,bottle,elephant,car,bicycle,cat,truck,knife,airplane,keyboard,oven,clock,chair
n01855672_7426,bird,dog,knife,bear,elephant,bottle,airplane,cat,car,boat,keyboard,truck,chair,clock,bicycle,oven
n01860187_210,bird,elephant,dog,boat,bear,bottle,chair,bicycle,cat,truck,car,keyboard,knife,oven,clock,airplane
n01860187_38598,bird,dog,elephant,bottle,bear,boat,bicycle,chair,cat,clock,oven,knife,truck,keyboard,airplane,car
n01860187_7878,bird,dog,bear,elephant,bottle,oven,cat,knife,boat,bicycle,chair,keyboard,truck,car,clock,airplane
n02002556_139,bird,dog,bottle,elephant,airplane,chair,clock,bicycle,truck,cat,car,boat,bear,knife,keyboard,oven
n02002556_17975,bird,elephant,clock,dog,truck,bicycle,bear,bottle,chair,boat,airplane,cat,car,knife,oven,keyboard
n02002556_1936,bird,dog,elephant,chair,boat,bottle,cat,clock,bicycle,truck,airplane,bear,knife,car,keyboard,oven
n02002724_1654,bird,dog,bottle,bear,elephant,bicycle,cat,boat,clock,truck,knife,chair,keyboard,car,airplane,oven
n02006656_11301,bird,dog,elephant,bear,cat,bottle,oven,bicycle,boat,knife,clock,chair,car,truck,keyboard,airplane
n02006656_30849,bird,bottle,dog,boat,knife,cat,elephant,chair,bear,clock,airplane,car,bicycle,truck,keyboard,oven
n02007558_7614,bird,dog,elephant,bottle,bear,chair,clock,keyboard,boat,cat,truck,knife,airplane,bicycle,oven,car
n02009229_2294,bird,elephant,boat,dog,bottle,car,bear,clock,airplane,truck,chair,knife,cat,keyboard,bicycle,oven
n02011460_5735,bird,cat,dog,bottle,boat,chair,knife,elephant,bicycle,bear,truck,clock,car,keyboard,oven,airplane
n02011460_7877,bird,dog,boat,bottle,elephant,chair,car,bicycle,cat,bear,oven,clock,keyboard,truck,knife,airplane
n02013706_1024,bird,dog,bottle,chair,bicycle,keyboard,car,elephant,clock,boat,bear,truck,cat,airplane,oven,knife
n02013706_6035,bird,dog,elephant,bottle,boat,cat,chair,bicycle,truck,bear,car,clock,knife,airplane,keyboard,oven
n02017213_15262,bird,dog,bottle,chair,boat,bear,bicycle,cat,oven,knife,clock,keyboard,airplane,truck,car,elephant
n02017213_17013,bird,dog,bear,bottle,elephant,boat,bicycle,cat,oven,truck,airplane,knife,clock,keyboard,chair,car
n02017213_4855,bird,dog,bear,cat,elephant,boat,knife,bottle,oven,chair,clock,keyboard,airplane,truck,bicycle,car
n02025239_2481,bird,dog,boat,bear,bottle,cat,airplane,oven,bicycle,truck,chair,car,keyboard,elephant,knife,clock
n02025239_3073,bird,dog,boat,bottle,bicycle,bear,car,cat,chair,airplane,truck,clock,keyboard,oven,knife,elephant
n02025239_7274,bird,dog,boat,bear,bottle,bicycle,car,cat,chair,truck,elephant,airplane,clock,oven,keyboard,knife
n02027492_1678,bird,boat,dog,bear,bottle,airplane,chair,clock,bicycle,keyboard,knife,cat,oven,car,truck,elephant
n02027492_20576,bird,boat,dog,bottle,bear,chair,bicycle,cat,airplane,car,oven,truck,keyboard,elephant,clock,knife
n02027492_2457,bird,dog,boat,chair,bottle,clock,bear,bicycle,airplane,oven,truck,car,keyboard,cat,elephant,knife
n02027492_9899,bird,dog,chair,bottle,boat,elephant,bear,cat,airplane,clock,oven,knife,bicycle,truck,car,keyboard
n02028035_23375,bird,dog,boat,elephant,bear,bottle,bicycle,truck,cat,chair,oven,clock,airplane,car,knife,keyboard
n02028035_26229,bird,dog,elephant,boat,bottle,bear,cat,chair,bicycle,knife,oven,airplane,clock,truck,keyboard,car
n02028035_4569,bird,dog,boat,bottle,elephant,chair,bear,airplane,oven,cat,bicycle,truck,knife,clock,car,keyboard
n02033041_17119,bird,dog,elephant,bottle,boat,chair,bear,bicycle,oven,truck,car,cat,keyboard,clock,knife,airplane
n02037110_3267,bird,dog,bicycle,airplane,boat,bottle,bear,chair,elephant,clock,cat,truck,car,keyboard,knife,oven
n02037110_3653,bird,boat,dog,elephant,bear,bicycle,clock,airplane,bottle,truck,chair,cat,car,knife,oven,keyboard
n02056570_1691,bird,chair,knife,bottle,dog,elephant,clock,bear,keyboard,truck,boat,cat,bicycle,airplane,oven,car
n02056570_727,bird,dog,chair,bear,bottle,boat,airplane,keyboard,clock,elephant,bicycle,truck,car,knife,oven,cat
n02085936_5775,dog,bottle,cat,clock,bird,boat,car,chair,bear,airplane,oven,keyboard,truck,knife,elephant,bicycle
n02089078_8273,dog,bird,elephant,cat,bear,oven,knife,bicycle,chair,bottle,truck,keyboard,car,boat,clock,airplane
n02089867_5477,dog,bird,chair,oven,cat,boat,bicycle,knife,bear,bottle,elephant,truck,clock,car,keyboard,airplane
n02090379_1687,dog,bird,cat,bottle,chair,keyboard,knife,oven,elephant,truck,bear,clock,car,boat,bicycle,airplane
n02090379_1932,dog,elephant,bear,bird,cat,oven,bottle,knife,clock,keyboard,car,truck,chair,bicycle,boat,airplane
n02090379_3045,dog,bear,elephant,cat,knife,truck,bird,boat,bottle,keyboard,oven,chair,clock,bicycle,car,airplane
n02090721_5305,dog,bear,cat,bird,truck,elephant,car,bottle,bicycle,boat,clock,chair,keyboard,oven,airplane,knife
n02091032_6740,dog,cat,bird,elephant,truck,bear,bottle,boat,chair,oven,car,keyboard,knife,bicycle,clock,airplane
n02091032_7280,dog,bird,cat,bear,bottle,knife,keyboard,clock,boat,chair,truck,airplane,elephant,bicycle,car,oven
n02091134_12017,dog,elephant,bird,cat,bottle,bear,oven,chair,knife,bicycle,keyboard,boat,truck,car,clock,airplane
n02091134_7486,dog,cat,bird,elephant,chair,boat,bicycle,bear,bottle,knife,car,truck,clock,airplane,keyboard,oven
n02091831_6436,dog,bird,bear,truck,car,bicycle,knife,bottle,cat,boat,elephant,chair,keyboard,clock,airplane,oven
n02092339_3174,dog,elephant,bear,bird,cat,boat,chair,truck,bottle,knife,keyboard,clock,bicycle,car,oven,airplane
n02092339_7356,dog,oven,elephant,knife,bird,bear,chair,boat,truck,bottle,keyboard,clock,cat,bicycle,car,airplane
n02093256_12628,dog,bear,cat,bird,elephant,bottle,truck,chair,knife,oven,car,keyboard,boat,airplane,clock,bicycle
n02093647_1494,dog,bear,bird,elephant,chair,cat,bottle,truck,knife,clock,bicycle,boat,oven,airplane,keyboard,car
n02093754_5012,dog,bear,bottle,bird,truck,cat,boat,chair,keyboard,elephant,car,bicycle,airplane,clock,oven,knife
n02093859_2564,dog,bear,bird,cat,elephant,chair,bottle,clock,bicycle,oven,keyboard,knife,truck,boat,car,airplane
n02094114_7024,bird,dog,bottle,knife,chair,elephant,keyboard,bear,boat,cat,clock,airplane,car,bicycle,truck,oven
n02094258_1036,dog,cat,bird,bear,clock,oven,boat,bottle,truck,knife,chair,keyboard,bicycle,car,airplane,elephant
n02094433_5663,dog,cat,bird,keyboard,bear,bottle,chair,clock,oven,knife,boat,car,truck,bicycle,elephant,airplane
n02095570_2773,dog,bird,cat,bottle,bear,chair,boat,truck,oven,bicycle,keyboard,clock,car,elephant,knife,airplane
n02095570_4436,dog,cat,bird,keyboard,bottle,bear,chair,elephant,knife,clock,oven,truck,car,boat,airplane,bicycle
n02096294_12418,dog,cat,bear,bird,truck,car,bottle,bicycle,clock,oven,boat,keyboard,chair,elephant,knife,airplane
n02096437_1559,dog,cat,bear,bird,bottle,truck,oven,boat,bicycle,car,clock,chair,elephant,keyboard,airplane,knife
n02097130_2321,dog,bear,bird,bottle,cat,clock,truck,chair,keyboard,elephant,bicycle,oven,boat,knife,car,airplane
n02097298_8119,dog,bird,cat,bottle,bear,keyboard,clock,truck,oven,chair,elephant,boat,car,bicycle,knife,airplane
n02097658_1316,dog,bird,bicycle,bear,bottle,cat,knife,chair,boat,clock,truck,elephant,keyboard,car,oven,airplane
n02098105_2343,dog,bear,cat,bird,bottle,elephant,truck,oven,chair,bicycle,boat,keyboard,car,clock,knife,airplane
n02098286_2798,dog,cat,bird,bear,bottle,clock,truck,boat,keyboard,chair,bicycle,airplane,oven,car,knife,elephant
n02098286_4425,dog,cat,bird,bear,bicycle,oven,truck,chair,boat,keyboard,bottle,elephant,clock,knife,car,airplane
n02099601_5760,dog,bear,bird,truck,boat,cat,keyboard,elephant,bottle,chair,clock,airplane,oven,car,knife,bicycle
n02099712_4066,dog,bottle,knife,bear,elephant,bird,clock,cat,chair,oven,keyboard,boat,truck,bicycle,car,airplane
n02099849_1285,dog,elephant,cat,bird,oven,chair,knife,bear,truck,bottle,keyboard,car,boat,clock,bicycle,airplane
n02100583_3987,dog,elephant,oven,bear,bird,cat,knife,chair,bottle,boat,truck,keyboard,car,clock,airplane,bicycle
n02100735_10276,dog,bird,cat,elephant,bear,bicycle,chair,oven,bottle,boat,truck,car,knife,clock,keyboard,airplane
n02102040_4392,knife,bottle,dog,boat,oven,chair,bird,cat,car,truck,keyboard,elephant,clock,bicycle,bear,airplane
n02102480_10156,dog,truck,chair,boat,car,elephant,bicycle,bottle,bird,bear,cat,oven,airplane,knife,clock,keyboard
n02102480_12073,dog,bear,cat,oven,bird,truck,bottle,keyboard,elephant,clock,knife,chair,car,bicycle,boat,airplane
n02102973_7074,dog,bear,bird,elephant,cat,oven,car,truck,boat,bottle,chair,keyboard,clock,bicycle,knife,airplane
n02104029_3121,dog,bird,bear,elephant,cat,oven,chair,knife,truck,bottle,clock,bicycle,keyboard,boat,airplane,car
n02104029_7335,dog,bear,bird,boat,cat,elephant,bicycle,chair,bottle,truck,airplane,knife,keyboard,clock,car,oven
n02104365_2334,dog,cat,bear,bird,keyboard,elephant,bottle,chair,bicycle,truck,knife,car,oven,clock,boat,airplane
n02105251_5812,dog,cat,bear,bottle,bird,clock,elephant,car,truck,oven,bicycle,chair,boat,keyboard,knife,airplane
n02105505_1156,dog,bear,bird,truck,cat,elephant,bottle,chair,knife,clock,boat,car,airplane,oven,keyboard,bicycle
n02105641_14112,dog,cat,bird,oven,bear,truck,bicycle,chair,bottle,boat,elephant,clock,knife,car,airplane,keyboard
n02105641_8995,dog,truck,bottle,bear,clock,cat,bird,boat,elephant,chair,bicycle,car,oven,airplane,keyboard,knife
n02106030_17418,dog,cat,bear,truck,keyboard,bird,bottle,boat,chair,car,knife,oven,clock,bicycle,elephant,airplane
n02106030_889,dog,bear,cat,bird,clock,keyboard,bottle,truck,chair,boat,car,bicycle,elephant,oven,knife,airplane
n02106550_6482,dog,elephant,oven,bird,bear,cat,truck,boat,chair,bottle,knife,car,bicycle,airplane,clock,keyboard
n02106662_18900,dog,cat,bird,bear,bicycle,boat,bottle,truck,chair,clock,keyboard,car,elephant,knife,oven,airplane
n02106662_50313,dog,cat,bear,chair,truck,keyboard,bird,bottle,knife,boat,clock,oven,bicycle,elephant,car,airplane
n02106662_5916,dog,cat,boat,truck,bear,bicycle,chair,bird,bottle,knife,keyboard,car,clock,elephant,oven,airplane
n02107312_1546,dog,bird,cat,bottle,elephant,bear,bicycle,chair,clock,knife,oven,boat,airplane,truck,keyboard,car
n02107574_3775,dog,bicycle,bird,cat,elephant,chair,boat,bear,truck,bottle,car,knife,oven,clock,airplane,keyboard
n02107574_4993,dog,bear,bird,cat,truck,bottle,elephant,oven,knife,keyboard,chair,boat,car,clock,airplane,bicycle
n02107908_3447,dog,bird,bear,cat,elephant,bicycle,bottle,truck,boat,car,chair,oven,knife,clock,keyboard,airplane
n02108000_6970,dog,bird,bottle,cat,chair,bear,keyboard,knife,truck,clock,boat,bicycle,airplane,car,oven,elephant
n02108422_12370,dog,cat,bird,bear,elephant,oven,truck,boat,car,bottle,knife,chair,bicycle,clock,keyboard,airplane
n02108551_20183,dog,bear,bird,cat,elephant,truck,bottle,oven,boat,clock,chair,keyboard,knife,car,bicycle,airplane
n02108551_26509,dog,bear,cat,bird,truck,elephant,oven,bicycle,car,bottle,chair,clock,keyboard,boat,knife,airplane
n02108915_7266,dog,cat,oven,bear,bird,knife,bottle,chair,elephant,truck,boat,airplane,clock,keyboard,car,bicycle
n02109047_26931,dog,bird,knife,bottle,chair,boat,cat,oven,bicycle,truck,bear,elephant,keyboard,clock,car,airplane
n02109525_23299,dog,truck,cat,oven,bottle,elephant,bear,chair,bird,car,boat,airplane,clock,knife,keyboard,bicycle
n02109525_53049,dog,bird,bear,cat,truck,bottle,elephant,oven,knife,bicycle,boat,clock,chair,car,keyboard,airplane
