image_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
n01514859_3837,bird,dog,bear,cat,elephant,oven,bottle,knife,bicycle,chair,clock,airplane,truck,boat,keyboard,car
n01514859_8222,bird,dog,cat,bear,chair,elephant,bottle,oven,boat,knife,bicycle,truck,keyboard,car,airplane,clock
n01530575_3903,bird,clock,chair,bottle,knife,bicycle,dog,cat,elephant,boat,keyboard,airplane,bear,truck,car,oven
n01531178_2725,bird,cat,dog,bear,knife,elephant,boat,bottle,clock,chair,truck,car,airplane,keyboard,bicycle,oven
n01537544_8859,bird,bottle,cat,bear,dog,knife,elephant,airplane,truck,chair,boat,keyboard,clock,bicycle,oven,car
n01558993_12968,bird,bottle,dog,cat,knife,clock,bear,airplane,elephant,chair,bicycle,boat,keyboard,car,truck,oven
n01558993_14305,bird,cat,dog,bear,airplane,bottle,knife,truck,boat,bicycle,elephant,oven,chair,keyboard,clock,car
n01558993_4297,bird,bear,cat,dog,bottle,elephant,keyboard,chair,bicycle,knife,truck,oven,clock,boat,car,airplane
n01558993_6287,bird,dog,cat,bear,bottle,elephant,airplane,car,boat,bicycle,clock,chair,truck,knife,keyboard,oven
n01582220_9857,bird,dog,bear,elephant,cat,knife,airplane,boat,keyboard,chair,oven,bottle,truck,bicycle,car,clock
n01592084_2422,bird,dog,cat,airplane,knife,bottle,boat,bear,keyboard,bicycle,elephant,chair,truck,clock,oven,car
n01592084_3955,knife,bird,bottle,clock,chair,dog,cat,bear,keyboard,airplane,truck,boat,oven,car,elephant,bicycle
n01601694_10499,bird,dog,boat,elephant,bear,bottle,knife,cat,airplane,truck,keyboard,car,chair,clock,bicycle,oven
n01601694_9470,bird,cat,dog,bear,bicycle,knife,bottle,boat,oven,chair,keyboard,truck,airplane,elephant,car,clock
n01616318_3247,bird,cat,bear,dog,bicycle,elephant,boat,bottle,knife,airplane,chair,truck,car,keyboard,oven,clock
n01622779_1364,bird,dog,bear,cat,clock,bottle,elephant,boat,knife,chair,keyboard,bicycle,truck,car,airplane,oven
n01622779_1961,bird,dog,cat,bottle,oven,bear,chair,knife,elephant,clock,keyboard,airplane,bicycle,boat,truck,car
n01622779_9829,bird,dog,cat,bottle,bear,oven,elephant,keyboard,knife,chair,boat,bicycle,truck,clock,car,airplane
n01795545_1515,bird,dog,bottle,elephant,bear,cat,bicycle,boat,clock,truck,airplane,knife,keyboard,car,chair,oven
n01795545_9555,bird,dog,bear,elephant,cat,bottle,bicycle,boat,truck,knife,clock,airplane,chair,car,keyboard,oven
n01796340_11254,bird,dog,bear,cat,bottle,bicycle,oven,airplane,truck,boat,clock,elephant,chair,keyboard,knife,car
n01796340_5058,bird,dog,cat,bicycle,bottle,bear,elephant,airplane,knife,boat,truck,chair,oven,clock,keyboard,car
n01798484_2289,bird,dog,cat,bear,elephant,chair,bottle,keyboard,truck,boat,airplane,bicycle,clock,knife,car,oven
n01798484_3762,bird,chair,elephant,cat,dog,keyboard,bottle,boat,airplane,clock,knife,bear,bicycle,truck,car,oven
n01798484_3874,bird,dog,elephant,bear,bottle,cat,bicycle,knife,clock,oven,chair,truck,boat,car,keyboard,airplane
n01798484_5988,bird,bear,dog,chair,cat,elephant,keyboard,bicycle,bottle,boat,truck,knife,car,oven,clock,airplane
n01817953_1534,bird,dog,bear,oven,elephant,knife,cat,bottle,chair,keyboard,clock,truck,bicycle,boat,car,airplane
n01818515_2312,bird,airplane,dog,cat,bear,clock,elephant,bottle,knife,keyboard,chair,truck,boat,oven,car,bicycle
n01818515_7947,bird,bottle,cat,knife,dog,bicycle,bear,chair,elephant,keyboard,clock,oven,truck,boat,car,airplane
n01818515_8968,elephant,bird,cat,bicycle,bottle,chair,bear,dog,clock,truck,keyboard,boat,car,knife,airplane,oven
n01819313_3638,bird,cat,bottle,bear,knife,dog,boat,oven,keyboard,chair,clock,truck,elephant,airplane,bicycle,car
n01820546_1354,bird,dog,bear,elephant,cat,bottle,bicycle,boat,clock,airplane,knife,car,chair,truck,oven,keyboard
n01820546_4631,bird,bear,cat,bicycle,dog,bottle,elephant,clock,knife,chair,oven,airplane,keyboard,car,boat,truck
n01824575_2244,bird,bear,cat,dog,bottle,keyboard,elephant,clock,knife,oven,truck,bicycle,chair,boat,car,airplane
n01824575_2746,bird,cat,dog,bear,elephant,airplane,bicycle,bottle,knife,chair,oven,keyboard,boat,truck,clock,car
n01824575_3514,bird,dog,cat,bear,oven,elephant,bottle,knife,clock,bicycle,keyboard,boat,truck,chair,airplane,car
n01828970_2030,bird,clock,bottle,dog,knife,chair,airplane,cat,boat,elephant,keyboard,bicycle,bear,truck,car,oven
n01829413_4190,bird,cat,dog,keyboard,bottle,boat,car,knife,elephant,clock,bicycle,bear,chair,truck,oven,airplane
n01829413_5505,bird,dog,cat,bottle,bear,clock,knife,chair,keyboard,boat,bicycle,airplane,oven,elephant,car,truck
n01843065_7445,bird,dog,cat,bear,knife,bottle,oven,airplane,chair,boat,keyboard,elephant,clock,bicycle,truck,car
n01855032_5743,bird,dog,bear,elephant,boat,cat,airplane,bottle,truck,knife,bicycle,car,chair,keyboard,clock,oven
n01855672_7426,bird,dog,bottle,elephant,boat,bear,car,truck,chair,knife,clock,keyboard,cat,airplane,bicycle,oven
n01860187_210,bird,dog,boat,elephant,bottle,bear,cat,chair,airplane,keyboard,truck,knife,oven,car,bicycle,clock
n01860187_38598,bird,dog,bear,boat,elephant,cat,bottle,bicycle,knife,truck,chair,clock,keyboard,oven,car,airplane
n01860187_7878,bird,dog,cat,bicycle,bear,bottle,elephant,keyboard,oven,clock,car,chair,knife,boat,truck,airplane
n02002556_139,bird,clock,airplane,cat,dog,bottle,boat,keyboard,knife,chair,elephant,car,truck,bicycle,bear,oven
n02002556_17975,bird,cat,bear,dog,elephant,boat,bicycle,bottle,truck,clock,chair,oven,car,airplane,keyboard,knife
n02002556_1936,bird,bear,dog,truck,bottle,elephant,boat,chair,cat,knife,car,oven,clock,bicycle,airplane,keyboard
n02002724_1654,bird,dog,bottle,cat,bear,knife,bicycle,boat,elephant,airplane,clock,chair,truck,keyboard,oven,car
n02006656_11301,bird,dog,bear,cat,elephant,bottle,boat,knife,chair,bicycle,truck,clock,oven,keyboard,airplane,car
n02006656_30849,bird,dog,knife,elephant,cat,clock,bear,chair,bottle,boat,airplane,keyboard,car,oven,bicycle,truck
n02007558_7614,bird,dog,elephant,bottle,chair,bear,cat,clock,knife,keyboard,oven,boat,bicycle,airplane,truck,car
n02009229_2294,bird,clock,dog,bottle,airplane,knife,cat,elephant,chair,boat,bear,keyboard,truck,car,bicycle,oven
n02011460_5735,bird,knife,bottle,chair,cat,dog,elephant,bicycle,truck,clock,bear,oven,boat,keyboard,car,airplane
n02011460_7877,bird,dog,cat,bear,bicycle,keyboard,car,bottle,truck,elephant,boat,knife,oven,chair,clock,airplane
n02013706_1024,bird,cat,dog,bear,elephant,bottle,bicycle,airplane,oven,chair,truck,keyboard,knife,boat,clock,car
n02013706_6035,bird,dog,airplane,bottle,bicycle,boat,elephant,bear,cat,knife,clock,truck,keyboard,car,chair,oven
n02017213_15262,bird,boat,dog,keyboard,knife,chair,bear,bottle,bicycle,elephant,cat,airplane,clock,truck,car,oven
