image_name,knife,keyboard,elephant,bicycle,airplane,clock,oven,chair,bear,boat,cat,bottle,truck,car,bird,dog,correct
n01514859_3837,1.0854759674838508e-06,2.706827377520409e-05,0.0005114257179853,1.2979006625589551e-05,7.107098269583107e-07,5.102948995522936e-06,7.797355151384057e-05,1.629367241812643e-05,8.542844955985356e-05,2.9846532586423564e-06,9.323725279307335e-05,4.789139094934214e-06,1.277770099076743e-05,1.239675533054359e-05,0.997850670549512,0.0012850761423521,1
n01514859_8222,2.008053842817472e-05,0.00021985622613,0.0005876525032483,0.0001394516885743,1.1234979115025674e-05,0.0001206455881841,0.0001462712993568,0.00063192028759,0.0009732806567477,1.010423755197213e-05,0.0027004573633138,0.0001432443356926,0.0002237680738619,0.0001226863664828,0.8360056196221578,0.1579437262335642,1
n01530575_3903,7.291995553029851e-06,5.596650973440035e-05,9.662922617916582e-06,2.294822445303809e-05,4.952034877491463e-07,5.7081020306122294e-05,1.070275794611006e-05,0.000752658310117,3.1068448724829797e-06,1.5776032900859468e-06,8.430671461991012e-05,5.2795542125982146e-05,5.45633445824354e-06,3.086391651999086e-06,0.9988448977774902,8.796584727571675e-05,1
n01531178_2725,2.300540451064009e-05,3.648794265633504e-06,9.822140760177067e-07,8.566174885435906e-07,6.166002077351627e-07,2.1695592629216855e-06,1.8129023254522187e-06,1.0649852988208673e-06,7.640651306192861e-06,1.2427675611982529e-06,0.0004531932623127,8.292733841983773e-06,1.605638725545335e-06,4.69074413967925e-07,0.998928260282113,0.0005651385122895,1
n01537544_8859,1.1893308779194616e-05,1.79914295760299e-05,3.3749988962299645e-05,3.919682376547049e-06,4.329211592664456e-06,3.1259363688051964e-05,5.662415449947594e-06,1.9189842204443625e-05,1.1378926831128085e-06,2.6488356433573757e-06,2.9184485985086298e-05,1.7913477211999815e-05,7.207427197957445e-06,7.901245164127622e-06,0.999453924054892,0.0003520873385932,1
n01558993_12968,3.441129185117627e-06,2.989518039692339e-07,7.793236168737619e-07,1.0959914722399477e-06,3.205006591031457e-07,2.0720705180051625e-05,4.5519842463802275e-07,1.2523200069169551e-05,5.987286316861426e-08,9.3355987827664e-08,1.5754591247017689e-06,5.272257834886411e-07,9.268255490875404e-07,4.733445691935964e-07,0.99995045592914,6.252986571389392e-06,1
n01558993_14305,5.723899165588359e-10,1.23652684854025e-08,8.443637731867559e-11,6.34806345384667e-08,6.1815820404479345e-09,6.914188523530577e-09,2.630849998467707e-09,2.1033858522104926e-09,4.303863522934427e-10,3.88801618522784e-10,2.515442340255392e-08,3.975601180867426e-08,5.3855665969958556e-09,1.1434100372999322e-09,0.9999997638441112,6.956455328083064e-08,1
n01558993_4297,0.0001065334509982,0.0009295087950848,4.99618032871558e-05,0.000116464619209,6.80463879802004e-06,0.0009205534765631,0.0012084912691407,0.0003915203586967,0.0158452377626316,0.0001515249365114,0.0051483454547799,0.0010045557507527,0.0001171650065522,8.479819557120913e-05,0.9394850537187228,0.0344334807626999,1
n01558993_6287,1.1888445229109928e-09,7.3992570000296625e-09,2.352517679669289e-10,2.5714958363639177e-08,1.0409990344967739e-09,5.206136378276595e-09,3.8734185854005087e-10,1.8845525765620124e-09,4.0800101699827305e-10,1.730108318450116e-09,3.668534764727347e-08,7.759001068883431e-09,3.610487104283743e-09,3.151490134118094e-09,0.999999492184008,4.114142152897912e-07,1
n01582220_9857,2.0851618268480674e-05,2.3329975659384087e-05,1.3377891292764957e-06,3.2042717191260618e-06,9.131968735928005e-08,4.06514877468171e-06,2.2316172815797892e-06,5.32325337405696e-06,3.1415761422352267e-06,1.443053238915233e-06,3.4949586484784774e-06,5.735062011857908e-05,4.161114742153211e-06,6.9508274711903205e-06,0.9997073527746332,0.0001556700811112,1
