image_name,knife,keyboard,elephant,bicycle,airplane,clock,oven,chair,bear,boat,cat,bottle,truck,car,bird,dog,correct
n01514859_3837,5.6685688733293014e-08,7.058026678677137e-08,5.038766561787503e-07,5.426152464978934e-07,1.5329874403511182e-08,3.1066234931929865e-08,2.1058959287276354e-07,1.5074435023124718e-07,1.1640076342603349e-06,8.109541989888097e-08,1.3298430333853626e-06,4.299904994940246e-07,3.864041826093981e-07,8.83957111531429e-08,0.9999612080942768,3.373068133190184e-05,1
n01514859_8222,1.9748476296250557e-06,3.5410781185455305e-07,8.755293278679737e-06,5.556293511443836e-06,2.1774172667495257e-07,8.76698578740361e-07,1.9002569572244826e-05,7.72598893965231e-06,3.07751647306455e-05,2.116038983329544e-06,0.0002552649345705,4.3538544120317885e-06,2.3155518658487313e-06,5.841871806336075e-07,0.9985381054199348,0.0011220213072732,1
n01530575_3903,7.1247524787022735e-12,4.845782726476139e-13,1.233715783569366e-13,2.8664816668101518e-11,1.3087508530249908e-12,2.721915926408341e-13,4.1771450662034506e-12,2.045748578728685e-10,2.8550979967387018e-12,3.1236119236572465e-12,1.0867333195001019e-10,4.88893588240584e-12,2.4441019837036133e-13,1.2386011090393711e-13,0.9999999995117062,1.2165405225907946e-10,1
n01531178_2725,1.324492947674043e-06,4.262190899017765e-08,6.713749500962287e-08,1.5253852011103832e-08,3.934260119519999e-07,5.55199380904924e-08,4.1648153071453995e-08,1.0181826133605116e-07,3.255885545784409e-07,7.788097439438822e-07,5.201065177788535e-07,4.796913250608125e-07,3.3535135316349464e-08,1.0036994642589193e-08,0.9999945443898162,1.2659233443676898e-06,1
n01537544_8859,4.532218871371148e-06,1.1259851834708726e-06,1.994955238778847e-06,2.5272986540522847e-06,2.401781849919178e-07,2.457471458584547e-06,2.946354246117007e-06,1.170738279719718e-05,4.856929489573164e-06,1.0095586082507834e-06,5.9773623772828225e-06,4.856938650665823e-06,9.310570705323652e-07,1.0421727717271996e-06,0.9999480244807796,5.769655617860374e-06,1
n01558993_12968,4.043816739449124e-07,4.452454972236808e-09,6.050025172176554e-08,1.496015375205177e-07,2.7329779188443047e-09,9.6733358068826e-08,1.8967839717410512e-08,2.4857388073530527e-09,2.383728695983984e-08,1.3823858112134954e-08,1.985186838764092e-08,1.9936133783754894e-07,5.284366281680864e-09,3.561913153817574e-09,0.9999985946570288,3.9976650765010146e-07,1
n01558993_14305,1.6317432539537766e-11,1.554852997909574e-12,1.3664926391151718e-13,1.1114828078101666e-09,4.302610117480228e-13,4.839107542622803e-12,7.783122998183356e-12,4.501569151808907e-13,6.028124371856156e-12,2.114968996399332e-12,2.0549297968396658e-11,3.148055648096496e-09,2.7371873403972038e-12,4.0716895937096175e-12,0.9999999834336692,1.223977955234056e-08,1
n01558993_4297,5.879082200681982e-05,1.2991503100457903e-05,2.934481386638056e-05,1.1849006982698746e-05,1.178832852429228e-06,5.522036380522634e-06,4.570327664955827e-05,9.937456567813814e-06,0.0058286022699904,1.216681605560454e-05,0.001561226991211,0.0002505129798061,1.1751517176124071e-05,5.546071253151585e-06,0.9826100696170468,0.0095448059890538,1
n01558993_6287,7.607211042879798e-10,1.2032476821117315e-10,8.748981444376594e-11,3.8743758307218785e-08,1.153554082737346e-09,2.477169511929875e-09,6.687168838073927e-10,2.477834455449455e-10,1.8753482458047207e-09,5.407512357817286e-08,5.896840222339631e-09,1.970439770551516e-07,2.205661924763905e-09,7.0881355016386205e-09,0.9999995307468152,1.568085802955158e-07,1
n01582220_9857,1.4110628080053464e-06,5.696198338439263e-07,1.1579258560187492e-06,1.1014109240643097e-06,2.2028165160060424e-06,6.164665297760628e-07,3.334145666196433e-07,2.1541761097216684e-06,9.92609872475082e-05,5.125992755247524e-06,1.3952195035573082e-06,1.3803935367315612e-06,9.226773127292272e-07,1.0571094541135187e-06,0.9995931184998652,0.0002881922271809,1
n01592084_2422,2.0288121650911103e-12,1.184926952891903e-12,9.537109156990793e-14,1.4724352210724023e-14,2.9578147362100785e-13,5.861546401269215e-15,9.57792506033625e-14,1.6542510033563553e-13,2.4780507818299665e-12,8.273744890574116e-14,3.6716692717602235e-10,6.881655721360016e-12,7.189502104116264e-15,2.614985037071515e-14,0.9999999995541792,6.529133876064569e-11,1
n01592084_3955,7.930284651075496e-06,2.8571166785412857e-06,2.588351854345363e-07,1.3105012139224022e-07,4.425769141239e-07,1.86419552151359e-07,4.4286125935882065e-08,3.5709705037147904e-06,2.0249880883070004e-05,1.5281358481807586e-07,0.0163039274306282,5.7856148985732335e-06,6.26565208719177e-08,4.6665327269886895e-08,0.9832915368721872,0.0003628165262375,1
n01601694_10499,3.3812611756272047e-09,3.621132919214638e-10,5.38446179576782e-10,5.581723183615374e-10,3.4838442742501826e-10,1.0250292396146302e-10,3.0817032637899335e-10,9.467592066595016e-11,1.0056338634046898e-08,4.974670520363414e-07,1.601868580748682e-09,1.5819907088842575e-08,8.769011201512643e-11,9.593107507930724e-11,0.999999326787052,1.423904340583026e-07,1
n01601694_9470,1.0221853824835491e-08,2.4881316949449568e-08,1.6860438886124174e-09,4.3023297036480246e-08,1.3113858902440397e-08,2.8604578508758358e-09,9.661348982746045e-09,1.2038752698452418e-08,1.7785369309609126e-08,2.1652505896665703e-08,3.906266228502791e-08,8.654041244109506e-08,5.434752869281536e-09,1.0443102261466836e-08,0.9999991113354818,5.902587829820726e-07,1
n01616318_3247,3.483209246942073e-09,2.7018820118539192e-09,3.3856005439159234e-08,8.399631371107532e-09,1.071335068162567e-09,1.3730446582813035e-09,9.507392462129216e-10,9.998308471196871e-10,1.6217743841857248e-06,7.246751619468311e-09,7.969409528546904e-08,2.365153736016714e-08,1.5879556599384592e-08,4.790586576012713e-09,0.999997641415392,5.527120184349639e-07,1
n01622779_1364,3.524304151576317e-09,3.8008547108625356e-08,1.409815311090425e-07,5.9014491927990486e-08,2.76276066944401e-10,3.2365530974471975e-08,1.76498028032815e-09,2.812989470287532e-09,4.215279287261755e-06,1.2375395845124806e-08,0.0002586313683379,8.765320320853205e-08,1.2958720521209831e-08,3.7053000756230813e-09,0.999475809575042,0.0002609483360619,1
n01622779_1961,9.656243968719719e-15,1.1780586801361096e-15,2.8891636642991234e-14,1.1331106670244937e-13,1.9894714251360853e-17,2.5155549605053654e-14,3.0830129920677257e-16,6.837983839971668e-15,6.937358700764597e-13,1.5084279722053586e-15,7.040460865878151e-11,3.218129655374372e-15,6.600276692164287e-15,5.481491909496603e-16,0.9999999999195174,9.187147158039404e-12,1
n01622779_9829,8.970279062970273e-14,1.9381623111012617e-13,8.833111608764164e-14,1.6965583166985916e-13,2.010538018018654e-15,3.0112375836512337e-13,4.3500222402185184e-14,1.7439411702694813e-13,8.464564913287263e-12,1.0204345015120865e-13,4.66805755041956e-11,1.8880694883921746e-12,6.888845632926106e-14,7.575226700274262e-15,0.9999999974559266,2.4857991206500312e-09,1
n01795545_1515,3.3075533237843956e-11,1.7364021280763328e-10,2.269020252728797e-09,3.0486549248974253e-10,2.588716282091569e-11,4.085591846617856e-11,2.1653144641764084e-11,1.6184902259567495e-09,3.7236298070967283e-07,3.1137689250597816e-10,7.1904529993943895e-09,1.2636765360112245e-08,3.734001022389027e-10,2.606409717113675e-10,0.9999881730317816,1.1429345113367973e-05,1
n01795545_9555,3.9907105897824244e-07,9.885712394405197e-08,1.312589471994429e-06,1.120186691592297e-06,1.41971374860356e-07,1.6870183445399738e-07,2.5137803490632863e-08,6.583957210702079e-07,2.147985127685557e-05,1.5148498226052173e-06,2.831218583318256e-06,1.650821071460849e-06,9.51992112117344e-07,1.403721065962548e-07,0.9994535289723108,0.0005139770116357,1
n01796340_11254,1.8319966000520194e-09,2.8992423012735903e-10,1.971142385028407e-11,4.43328847205184e-10,2.7202217780772777e-10,3.068033382235263e-10,1.1767811903569078e-10,1.6851178898831247e-10,1.953106054245208e-09,3.653950814659324e-10,1.1714568354793897e-08,3.271529699581141e-09,5.57377783625225e-10,6.905442243344011e-11,0.9999957339421188,4.244676873208666e-06,1
n01796340_5058,1.992375373078551e-06,7.948540808619804e-07,1.384385934702644e-06,3.469749503097525e-05,1.5014690881305793e-06,4.436637038468911e-07,7.3816947840848e-07,8.921200908097668e-07,0.0001059638310366,6.3896377762402385e-06,3.371756997838546e-05,1.725320829632686e-05,1.28162553841114e-06,2.8815353635138745e-06,0.999223660506367,0.0005664075528627,1
n01798484_2289,1.4316586936099862e-10,8.419871429443633e-10,7.457049367284654e-09,5.942429527567098e-10,8.508027162792349e-11,8.231427316383933e-11,2.510784932400406e-10,1.7567112859672562e-08,4.918132076681573e-09,5.107582037828744e-10,1.0908589597967316e-07,2.107501815978778e-09,1.6270733152057802e-09,5.7005289129199e-10,0.9999996850305148,1.691280397332884e-07,1
n01798484_3762,7.034242999399155e-12,1.863616880498679e-10,1.0617131421350045e-10,2.391812306971575e-11,1.5688400867183326e-11,2.9631354180812247e-12,2.1891295976847733e-12,1.4433103182044969e-08,1.8012657172053797e-11,4.6440699666579464e-11,5.446193103028045e-09,1.6817984160829566e-10,3.7100622029592254e-11,2.6789018084763276e-11,0.9999999768469812,2.632873562627744e-09,1
n01798484_3874,1.6696949338655185e-08,2.27270241304504e-08,7.338406561955949e-07,2.371889973970969e-07,9.532271806427241e-09,6.013717706211764e-09,1.567196647629927e-08,5.971429768708318e-08,1.850496212545826e-06,2.8629600818439567e-08,4.233358716067138e-07,2.2106083616206245e-07,1.7545319137856873e-07,5.0436149243565357e-08,0.9999727044636232,2.3444738634281757e-05,1
n01798484_5988,2.85139935738275e-10,3.254781179767286e-09,1.0471450831843738e-08,6.621500042207622e-10,4.5730658380990044e-10,3.11798296706539e-10,3.744344356757415e-09,1.8543434787156086e-07,1.557695502830043e-09,1.328287511749848e-09,6.310506284254938e-08,1.6243793648891847e-08,6.445551669365073e-10,5.241306010775913e-10,0.999999603249656,1.0872549964455812e-07,1
n01817953_1534,1.1841464772160338e-06,2.0199401982525633e-07,6.637917111164933e-06,2.187926567076254e-07,3.676555369724793e-09,2.5011713381756433e-08,2.196685750136536e-06,4.757138676922364e-08,1.669725747184892e-05,5.3854153630039815e-08,1.528695656394295e-07,1.211927172376514e-06,1.7517030407644436e-08,4.699695909394395e-09,0.9992010812113226,0.000770264867917,1
n01818515_2312,1.2972300482182035e-06,4.978354952119354e-07,0.0001553717263386,1.2828868924343527e-05,7.820739430609143e-06,1.2070908600694125e-05,3.991726083084396e-07,2.4602244256112462e-06,1.9332185150103217e-05,8.359806277246622e-06,4.007460425319421e-05,7.121408885547472e-06,8.612755139828069e-06,3.079078214027116e-06,0.9996448131966074,7.586025960097011e-05,1
n01818515_7947,0.0003412267501147,0.0001323002868793,0.0001817008378978,0.000560869583236,3.5738043566653386e-06,0.0001862144061277,7.492472976214454e-05,5.494212980750846e-05,3.1617389083510404e-05,1.9764288708181388e-05,5.04335522377706e-05,0.000482872390898,9.55052066744334e-05,8.678950945334842e-06,0.9969489120057023,0.0008264636875682,1
n01818515_8968,7.340297392118858e-06,3.841586352952941e-07,0.0001553566708585,8.986082719048767e-05,3.876604607658516e-07,4.1094362360776294e-06,5.659875838543499e-06,1.3481599149196926e-05,7.094959175623775e-06,1.994448058038294e-06,3.4693503544608315e-05,6.735590919676161e-06,4.661654040036202e-06,1.2978071433389731e-06,0.9996471572661504,1.9784245207332147e-05,1
n01819313_3638,6.596104106548547e-07,3.1157033773311275e-08,2.153674541778134e-07,6.9068453262849806e-09,1.1314414751918732e-08,4.85725535220789e-09,1.3385042536546812e-08,6.326377130744268e-08,6.96203997629574e-05,4.3117545203047515e-08,1.1611207009116555e-06,1.1358357533228057e-07,2.0323738537353566e-09,5.284277835755407e-10,0.999915626088827,1.2427266559094875e-05,1
n01820546_1354,8.891687689561717e-13,8.416484530064873e-14,4.1122173161934753e-13,1.0662349856842277e-13,7.304420273032623e-15,1.2118143645180592e-13,1.1023135948052264e-13,7.650809809012196e-14,8.706316172432698e-12,9.429631176360592e-14,3.18497506337573e-13,1.652496255800784e-11,1.764901240980525e-14,1.1592158048435781e-14,0.9999999998495404,1.229798918388733e-10,1
n01820546_4631,3.0919850766844425e-05,1.3717369135262856e-05,2.1363087972364093e-05,2.215428624860407e-05,3.109566511995608e-06,8.649283440222053e-06,4.489530179189474e-06,2.7175766971614514e-06,0.0029114819885378,1.7201981607291429e-06,0.0002599260533492,0.0001017164022008,4.129717455852831e-06,4.480105761661568e-07,0.9964075348747042,0.0002059222040633,1
n01824575_2244,4.83801190281476e-05,4.460036325532873e-06,0.0002928145087207,3.845988952774918e-05,5.860692064882873e-07,6.680854133347283e-06,1.843239615909315e-05,6.081698915816067e-06,0.012820526897404,2.421611764546259e-06,0.0013479682777647,1.5494096709555858e-05,5.771083225032666e-06,9.210022138633212e-07,0.9848503174824388,0.0005406839764624,1
n01824575_2746,4.135690763916626e-12,1.275997007184526e-13,3.546408741614981e-12,1.2940604523557149e-13,4.1701115861693526e-14,1.2912471828850128e-13,2.4854478177718365e-13,7.991173925363349e-13,1.4506742449166171e-11,1.8232441919391205e-13,1.0928022119108396e-11,3.207759294529008e-12,3.7428793200128345e-14,1.1010248227194768e-14,0.9999999997456568,2.163124375977389e-10,1
n01824575_3514,9.558921495946685e-08,8.655284682538562e-09,4.82499919037409e-08,1.9052682999167552e-08,4.3191963753765324e-09,6.744575232224776e-09,2.6918138448196457e-08,1.4570713469320663e-08,1.859371858846802e-07,5.862650598435828e-09,9.708433362738177e-08,1.871926074891357e-07,6.747997732440727e-09,1.7632506057517231e-09,0.999998347210002,9.441021738045646e-07,1
n01828970_2030,2.492968399040972e-13,2.9364922481931e-14,6.477254037810141e-13,6.457058560572533e-14,6.62373810339358e-14,2.4095151797922214e-14,7.715417034931216e-15,1.9029541409854193e-12,1.1905401834672578e-13,6.409428224391808e-13,2.554085419651679e-12,5.679036674542205e-12,2.0274677247254405e-14,1.39917550190131e-13,0.999999999953384,3.447075193134587e-11,1
n01829413_4190,7.114307217587481e-07,1.7843607434586157e-08,4.98623451628826e-07,4.2530398393441633e-07,7.393268131264068e-10,3.3906438069189913e-09,3.363752371517195e-08,4.949068274044248e-09,9.750491122131383e-08,2.1810039823549127e-07,1.636135108758439e-08,5.766293815983089e-07,5.444567708582342e-09,4.990444308959921e-09,0.9999971050495624,2.800010559926099e-07,1
n01829413_5505,2.265131501176511e-11,1.0488109657910391e-11,3.8818299614307117e-10,1.5650035296084424e-10,1.1314849994758769e-12,4.0425723063136734e-11,3.302648405318894e-12,2.2754067473652683e-11,1.5379393496694082e-10,2.1085056044746023e-11,4.978458946256148e-10,5.490496981008128e-10,1.0979166565336446e-11,4.753963389053083e-12,0.9999999937001957,4.416859953813313e-09,1
n01843065_7445,2.268412572915205e-15,6.237486602902124e-16,7.001870397411303e-17,1.1288113418041177e-17,1.2491526562604184e-15,6.128798133884807e-17,2.0592347048563783e-14,3.827325585075701e-16,3.338471212296378e-15,1.7882223645706138e-16,8.421587849657082e-15,7.485087302521691e-15,2.272690198423045e-16,1.19849194878813e-16,0.9999999999994352,5.198260897523401e-13,1
