image_name,participant_id,correct
n04111531_2462,1,0
n02504458_7302,1,1
n02100735_10276,1,1
n03041632_11495,1,1
n02504458_7472,1,1
n04557648_310,1,0
n02951358_2416,1,0
n02028035_23375,1,1
n02814533_27484,1,1
n04429376_10128,1,1
n04429376_54570,1,0
n02504013_6865,1,1
n02009229_2294,1,1
n02134084_2328,1,1
n02504013_6722,1,1
n02690373_2232,1,1
n02791124_3117,1,0
n01582220_9857,1,1
n03085013_23549,1,1
n04612504_4199,1,1
n04273569_17179,1,1
n02708093_2824,1,1
n04111531_8658,1,1
n02002724_1654,1,1
n03344393_732,1,1
n03937543_3133,1,1
n04429376_294,1,1
n03937543_3726,1,1
n02132136_50,1,1
n02011460_7877,1,1
n02123394_8605,1,1
n03417042_15179,1,1
n02835271_1425,1,1
n03662601_10716,1,1
n03041632_4590,1,1
n02504013_1844,1,0
n02708093_170,1,1
n04467665_64402,1,1
n02134084_27094,1,1
n02132136_1467,1,1
n02835271_11922,1,1
n03792782_5405,1,1
n02708093_107,1,1
n03796401_21290,1,1
n03041632_3171,1,1
n02690373_2498,1,1
n04505470_2389,1,1
n02690373_2217,1,1
n03376595_2234,1,1
n03344393_8798,1,1
n03041632_11700,1,1
n02123597_6517,1,1
n03085013_28741,1,1
n02835271_2086,6,1
n03041632_27960,6,1
n02123159_12957,6,1
n02504013_174,6,1
n02124075_379,6,1
n03792782_12433,6,1
n04285008_9774,6,1
n04111531_22563,6,0
n02111129_1530,6,1
n02504013_3224,6,1
n03085013_2432,6,1
n03376595_54,6,1
n02132136_6817,6,1
n03792782_14531,6,1
n03041632_49513,6,1
n04273569_5276,6,1
n02123045_2719,6,1
n04560804_17045,6,1
n03344393_4294,6,1
n02690373_9709,6,1
n02504458_13354,6,1
n01829413_5505,6,1
n04467665_70988,6,1
n02094433_5663,6,1
n03796401_18139,6,1
n04467665_21603,6,1
n04099969_17056,6,1
n02108000_6970,6,1
n02099849_1285,6,1
n02093256_12628,6,1
n02708093_4783,6,1
n04612504_8599,6,1
n02123045_8127,6,1
n03196217_4970,6,0
n03085013_7613,6,1
n02123597_1601,6,1
n02092339_3174,6,1
n04467665_56933,6,1
n04111531_4879,6,1
n04111531_12450,6,1
n04111531_8009,6,1
n02093647_1494,6,1
n02690373_9537,6,0
n02125311_41798,6,1
n03100240_21334,6,1
n03792782_63173,6,1
n01622779_1364,6,1
n04099969_18254,4,1
n02504458_7013,4,1
n02037110_3267,4,1
n04111531_3671,4,1
n03041632_44133,4,1
n02134084_7387,4,0
n03376595_17811,4,0
n04548280_541,4,1
n03792782_22856,4,0
n02028035_4569,4,1
n04612504_2129,4,1
n02504013_15276,4,0
n02504458_2946,4,0
n04099969_1527,4,1
n04111531_4370,4,0
n02002556_139,4,0
n02690373_12505,4,1
n02814533_62356,4,1
n04591713_3894,4,0
n02835271_15087,4,1
n03196217_8726,4,0
n03417042_29384,4,0
n04429376_19103,4,0
n04111531_16583,4,0
n02104029_7335,4,1
n02835271_15960,4,1
n01820546_4631,4,1
n04505470_650,4,1
n03085013_20218,4,1
n04429376_45302,4,0
n02504458_7144,4,0
n03796401_7179,4,0
n02504013_6857,4,1
n02690373_1491,4,1
n02134084_833,4,0
n04548280_2045,4,1
n02835271_21558,4,0
n02093859_2564,4,0
n04505470_1157,4,0
n02823428_1493,4,0
n02504458_4117,4,0
n03041632_47410,4,0
n03041632_87339,4,0
n04111531_22466,4,1
n02112018_10174,4,1
n02125311_2064,4,0
n03376595_6012,4,0
n03376595_1135,4,0
n04505470_26,4,1
n02133161_4043,4,1
n02095570_4436,4,0
n03041632_22286,4,1
n04111531_23830,4,0
n04467665_67327,4,1
n02504013_3861,4,1
n02124075_2843,4,1
n02504013_11159,4,0
n03041632_45090,4,1
n02123394_4666,4,1
n04505470_4486,4,1
n02134418_1674,4,1
n02690373_1974,4,1
n03376595_5876,2,1
n02098286_2798,2,1
n02814533_3375,2,0
n03100240_441,2,0
n02134084_22426,2,1
n02123159_4952,2,1
n02814533_63116,2,0
n02132136_25168,2,1
n04505470_4997,2,1
n03937543_11751,2,1
n04111531_11589,2,0
n02123159_6483,2,1
n04111531_22120,2,1
n04505470_3132,2,1
n04505470_10211,2,1
n04505470_4684,2,1
n04273569_13641,2,1
n02106550_6482,2,1
n02504458_1302,2,1
n04557648_2703,2,1
n02124075_4933,2,1
n02951358_6637,2,1
n04111531_2023,2,1
n02125311_37753,2,1
n02123159_5950,2,1
n03376595_8917,2,1
n02690373_6697,2,1
n03792782_3385,2,0
n03085013_24045,2,1
n04591713_6473,2,1
n04591713_6069,2,1
n02835271_6930,2,1
n04111531_7283,2,0
n02835271_20903,2,1
n02690373_7748,2,1
n02123045_5057,2,1
n02504458_3891,2,1
n03085013_3804,2,1
n02690373_19134,2,1
n03417042_9689,2,1
n01798484_3762,2,1
n01558993_4297,2,1
n02835271_15639,2,1
n03085013_18623,2,1
n03085013_21127,2,1
n03085013_19343,2,1
n02125311_12020,2,1
n03376595_4242,2,1
n01818515_7947,2,1
n02690373_3698,2,1
n02504013_6148,2,1
n03100240_2503,2,1
n03662601_32251,2,1
n02835271_5858,5,1
n02123394_6698,5,1
n03196217_10634,5,0
n02134084_20702,5,1
n02134084_23292,5,1
n02791124_2009,5,1
n02134418_4657,5,1
n01601694_10499,5,0
n02814533_16767,5,1
n04285008_14345,5,1
n03085013_23800,5,1
n03041632_16104,5,1
n02123159_2663,5,1
n02098286_4425,5,1
n03983396_10362,5,1
n02132136_6777,5,1
n04111531_9178,5,1
n04285008_7920,5,1
n03100240_17417,5,1
n02690373_9401,5,1
n02690373_9659,5,1
n04285008_8880,5,1
n03041632_12651,5,1
n02814533_874,5,1
n03041632_2058,5,1
n01622779_1961,5,1
n02835271_2960,5,1
n02025239_2481,5,1
n02690373_243,5,1
n02504458_9213,5,1
n01798484_5988,5,1
n02814533_26334,5,1
n03792782_15431,5,1
n02951358_4451,5,1
n02835271_7900,5,1
n02504458_8103,5,1
n04099969_1126,5,1
n04591713_2052,5,1
n03983396_11715,5,1
n03417042_1853,5,1
n04111531_4904,5,1
n02951358_35173,5,1
n02132136_7507,5,1
n04579145_6400,5,1
n01601694_9470,5,1
n04285008_16747,5,1
n04505470_6421,5,1
n03937543_2232,5,1
n04111531_20429,5,1
n03041632_37618,7,1
n03041632_36280,7,1
n03983396_10230,7,1
n02123045_7902,7,1
n02708093_8379,7,1
n02124075_2643,7,1
n01824575_2746,7,1
n02708093_3750,7,1
n03417042_12013,7,1
n02123394_2461,7,1
n02123597_7497,7,1
n04111531_716,7,1
n04579145_2046,7,0
n04505470_3615,7,1
n04429376_45669,7,1
n02708093_960,7,1
n03796401_16603,7,1
n02814533_82674,7,1
n02791124_6463,7,1
n03085013_2640,7,1
n01795545_1515,7,1
n04579145_2276,7,0
n02006656_30849,7,1
n04560804_1089,7,1
n02124075_10088,7,1
n04557648_9043,7,0
n04548280_9801,7,1
n04591713_6980,7,1
n02094258_1036,7,1
n03376595_7959,7,1
n01514859_8222,7,1
n02098105_2343,7,1
n03376595_14563,7,1
n02708093_1128,7,0
n02027492_1678,7,1
n03796401_1791,7,1
n04612504_37673,7,1
n04548280_5013,7,1
n03041632_2630,7,1
n03983396_5394,7,1
n02690373_971,7,1
n02690373_1837,7,1
n02093754_5012,7,1
n02690373_6576,7,1
n03792782_10929,7,1
n02123045_10431,7,1
n02708093_3289,7,0
n02708093_2867,7,0
n04273569_5593,7,1
n02814533_45714,8,1
n02105251_5812,8,1
n02056570_1691,8,1
n02107908_3447,8,1
n03792782_44390,8,1
n04505470_207,8,1
n04579145_558,8,1
n04612504_12864,8,1
n03417042_1790,8,1
n03792782_24722,8,1
n03796401_9219,8,1
n02690373_5465,8,1
n01558993_6287,8,1
n02708093_7032,8,1
n03085013_3595,8,1
n04505470_2709,8,1
n02791124_4261,8,1
n02013706_1024,8,1
n02124075_7323,8,1
n04591713_906,8,1
n02504458_5507,8,1
n04467665_72639,8,1
n04111531_1004,8,1
n02123045_10717,8,1
n02791124_7824,8,1
n04505470_10786,8,1
n02113624_613,8,1
n02814533_29367,8,1
n02814533_7769,8,1
n03792782_52665,8,1
n03196217_7867,8,1
n03417042_10885,8,0
n02814533_42481,8,1
n02027492_20576,8,1
n02090379_1932,8,1
n02504013_2974,8,1
n02133161_14841,8,1
n02504013_218,8,1
n02123045_7197,8,1
n02133161_1872,8,1
n03100240_3528,8,1
n03417042_9096,8,1
n03417042_3171,8,1
n03662601_27165,8,1
n03041632_42472,8,1
n04548280_9121,8,1
n03100240_17587,8,1
n02123159_7390,8,1
n04285008_8918,8,1
n02133161_955,8,1
n02708093_1094,8,1
n03041632_29862,8,1
n03041632_39836,8,1
n03792782_7667,8,1
n02504013_2476,8,1
n02017213_4855,8,0
n04467665_25130,8,1
n02113712_6618,10,0
n03344393_3978,10,1
n02835271_22549,10,1
n04429376_9517,10,1
n02690373_6363,10,1
n03041632_79317,10,1
n03041632_43975,10,1
n03417042_21270,10,0
n04548280_4582,10,1
n03100240_8588,10,1
n04467665_707,10,1
n02504013_9466,10,1
n02123159_3996,10,1
n02133161_7233,10,1
n03041632_54627,10,1
n04548280_12615,10,1
n02835271_11995,10,1
n04548280_2411,10,1
n03937543_2507,10,1
n02835271_21211,10,1
n03100240_4173,10,1
n02134418_573,10,1
n04285008_7900,10,1
n02132136_31133,10,1
n02504458_1790,10,1
n02125311_5229,10,1
n02124075_5848,10,1
n02132136_9557,10,1
n02133161_1427,10,1
n04111531_8193,10,1
n03937543_3196,10,1
n02791124_2057,10,1
n02814533_5110,10,1
n02690373_18234,10,1
n02690373_3326,10,1
n02708093_3544,10,1
